Youtuber,Title,Published_date,Views,Likes,Comments
randomfrankp,DAY 2 Best Amazon Prime Day 2023 Tech Deals 🔥 (Updating Hourly!),2023-07-12,99342,2474,106
randomfrankp,Top Amazon Prime Day 2023 TECH Deals 🔥,2023-07-11,195592,5003,270
randomfrankp,Room Tour Project 274 - Super Clean & Minimal Desk Setups!,2023-07-09,50065,2483,87
randomfrankp,Awesome Gaming Keyboards Under $50!,2023-07-08,76610,2798,215
randomfrankp,"My $10,000 Random Tech Unboxing Haul 🤑",2023-07-07,83184,4224,225
randomfrankp,My Favorite Tech Gadgets You Can Buy RIGHT NOW!,2023-07-03,348149,11241,385
randomfrankp,Cool Tech Under $100!,2023-07-02,313181,9535,582
randomfrankp,Cool Tech Under $50 - July!,2023-07-01,519571,16598,2372
randomfrankp,10 Tips To Improve Your Gaming / Desk Setup!,2023-06-30,188074,7486,328
randomfrankp,Razer failed us with the new Cobra Pro.,2023-06-29,85813,3292,476
randomfrankp,Gaming Keyboard Tier List! (Top 30+ Ranked),2023-05-28,130682,2630,336
randomfrankp,Top Amazon Gaming Week Tech Deals! 🔥,2023-05-27,76704,2399,86
randomfrankp,Cool Tech Under $50 - May!,2023-05-06,296962,12720,1421
randomfrankp,NEW Razer Blackshark V2 Pro Headset - What's new?,2023-04-30,151457,4620,561
randomfrankp,This Keyboard is Absolutely BIZARRE.,2023-04-28,33002,1506,107
randomfrankp,Room Tour Project 273  - BEST Desk & Gaming Setups!,2023-04-23,91140,3282,98
randomfrankp,So I've Been Using a Fingertip Mouse....,2023-04-22,104433,3674,280
randomfrankp,Cool Tech Gadgets You Can Buy RIGHT NOW!,2023-04-08,321949,12534,493
randomfrankp,Linus said WHAT about me??,2023-04-03,461655,27087,1616
randomfrankp,Corsair wants to WRECK your attention span?,2023-04-02,66478,3062,30
randomfrankp,Reviewing the Official Donald Trump AirPods lol,2023-04-02,57034,3950,402
randomfrankp,Cool Tech Under $50 - April!,2023-04-01,347522,14999,1385
randomfrankp,This gaming keyboard is also a controller?! - Megalodon Console 64,2023-03-31,66265,2869,230
randomfrankp,This filming trick is like Photoshop in real-time!,2023-03-20,84717,6693,71
randomfrankp,Room Tour Project 272  - BEST Desk & Gaming Setups!,2023-03-19,125810,5684,318
randomfrankp,Ending the Randomfrankp YouTube Era.,2023-03-18,459768,29049,5303
randomfrankp,The NEW Glorious Model O 2 Wireless Review,2023-03-17,88043,2834,263
randomfrankp,NEW Lenovo Legion Pro 7i Gen 8 Gaming Laptop Review + Benchmarks!,2023-03-15,84297,1900,189
randomfrankp,The Randomfrankp Mouse is HERE!,2023-03-11,71506,3327,286
randomfrankp,Cool Tech Under $50 - March 🔥,2023-03-04,311606,13354,1737
randomfrankp,Room Tour Project 271 - BEST Gaming Setups!,2023-02-26,68230,2761,125
